,2014,0.00
13005,08/2014,76.45
13007,2014,49.65
13007,08/2014,49.80
13009,2014,47.37
13009,08/2014,47.38
13011,2014,82.67
13011,08/2014,82.69
13013,2014,73.21
13013,08/2014,73.23
13015,2014,72.13
13015,08/2014,72.13
13017,2014,55.05
13017,08/2014,55.10
13019,2014,72.69
13019,08/2014,72.69
13021,2014,40.98
13021,08/2014,41.03
13023,2014,69.52
13023,08/2014,69.54
13025,2014,77.46
13025,08/2014,77.46
13027,2014,52.74
13027,08/2014,52.79
13029,2014,69.37
13029,08/2014,69.38
13031,2014,62.72
13031,08/2014,62.72
13033,2014,48.25
13033,08/2014,48.25
13035,2014,65.39
13035,08/2014,65.39
13037,2014,42.18
13037,08/2014,42.24
13039,2014,65.70
13039,08/2014,65.70
13043,2014,65.86
13043,08/2014,65.86
13045,2014,66.83
13045,08/2014,66.84
13047,2014,72.72
13047,08/2014,72.70
13049,2014,64.00
13049,08/2014,64.03
13051,2014,45.11
13051,08/2014,45.13
13053,2014,44.73
13053,08/2014,44.86
13055,2014,59.25
13055,08/2014,59.25
13057,2014,75.05
13057,08/2014,75.06
13059,2014,32.78
13059,08/2014,32.81
13061,2014,41.61
13061,08/2014,41.61
13063,2014,15.89
13063,08/2014,15.90
13065,2014,62.33
13065,08/2014,62.35
13067,2014,55.67
13067,08/2014,55.73
13069,2014,64.04
13069,08/2014,64.04
13071,2014,70.56
13071,08/2014,70.55
13073,2014,70.65
13073,08/2014,71.38
13075,2014,62.76
13075,08/2014,62.78
13077,2014,69.74
13077,08/2014,69.72
13079,2014,63.30
13079,08/2014,63.29
13081,2014,61.35
13081,08/2014,61.31
13083,2014,71.30
13083,08/2014,71.32
13085,2014,82.65
13085,08/2014,82.65
13087,2014,54.33
13087,08/2014,54.38
13089,2014,21.21
13089,08/2014,21.23
13091,2014,61.69
13091,08/2014,61.69
13093,2014,48.64
13093,08/2014,48.79
13095,2014,31.96
13095,08/2014,31.96
13097,2014,46.39
13097,08/2014,46.42
13099,2014,50.73
13099,08/2014,50.71
13101,2014,76.73
13101,08/2014,76.73
13103,2014,74.24
13103,08/2014,74.23
13105,2014,60.24
13105,08/2014,60.33
13107,2014,63.62
13107,08/2014,63.63
13109,2014,63.89
13109,08/2014,63.89
13111,2014,75.61
13111,08/2014,75.59
13113,2014,61.76
13113,08/2014,61.78
13115,2014,64.04
13115,08/2014,64.05
13117,2014,79.36
13117,08/2014,79.36
13119,2014,79.75
13119,08/2014,79.75
13121,2014,34.81
13121,08/2014,34.93
13123,2014,76.11
13123,08/2014,76.11
13125,2014,79.97
13125,08/2014,79.95
13127,2014,65.51
13127,08/2014,65.51
13129,2014,72.21
13129,08/2014,72.20
13131,2014,60.99
13131,08/2014,61.00
13133,2014,64.14
13133,08/2014,64.16
13135,2014,54.36
13135,08/2014,54.48
13137,2014,79.68
13137,08/2014,79.66
13139,2014,78.28
13139,08/2014,78.29
13141,2014,20.77
13141,08/2014,20.55
13143,2014,75.25
13143,08/2014,75.28
13145,2014,68.21
13145,08/2014,68.21
13147,2014,68.37
13147,08/2014,68.37
13149,2014,71.46
13149,08/2014,71.46
13151,2014,48.62
13151,08/2014,48.63
13153,2014,59.36
13153,08/2014,59.40
13155,2014,66.70
13155,08/2014,66.70
13157,2014,78.54
13157,08/2014,78.55
13159,2014,66.53
13159,08/2014,66.51
13161,2014,70.75
13161,08/2014,70.77
13163,2014,44.97
13163,08/2014,44.95
13165,2014,58.48
13165,08/2014,58.48
13167,2014,64.88
13167,08/2014,64.88
13169,2014,59.86
13169,08/2014,59.87
13171,2014,63.31
13171,08/2014,63.31
13173,2014,59.08
13173,08/2014,59.03
13175,2014,60.06
13175,08/2014,60.08
13177,2014,72.47
13177,08/2014,72.46
13179,2014,37.45
13179,08/2014,37.47
13181,2014,63.82
13181,08/2014,63.92
13183,2014,57.94
13183,08/2014,58.06
13185,2014,55.49
13185,08/2014,55.75
13187,2014,75.16
13187,08/2014,75.15
13189,2014,59.52
13189,08/2014,59.52
13191,2014,54.34
13191,08/2014,54.34
13193,2014,33.14
13193,08/2014,33.14
13195,2014,72.01
13195,08/2014,72.01
13197,2014,49.79
13197,08/2014,49.79
13199,2014,51.81
13199,08/2014,51.80
13201,2014,72.09
13201,08/2014,72.09
13205,2014,50.11
13205,08/2014,50.08
13207,2014,67.79
13207,08/2014,67.81
13209,2014,69.76
13209,08/2014,69.76
13211,2014,68.18
13211,08/2014,68.14
13213,2014,68.88
13213,08/2014,68.88
13215,2014,39.12
13215,08/2014,39.14
13217,2014,48.24
13217,08/2014,48.24
13219,2014,69.42
13219,08/2014,69.42
13221,2014,65.29
13221,08/2014,65.29
13223,2014,67.61
13223,08/2014,67.62
13225,2014,49.94
13225,08/2014,49.93
13227,2014,78.41
13227,08/2014,78.41
13229,2014,80.44
13229,08/2014,80.44
13231,2014,77.65
13231,08/2014,77.71
13233,2014,66.61
